地名ID	地名	说明	隶属郡	地名类型	地名渊源	渊源类型	首现文献	设置时间	取消时间	辖县	隶属刺史
881	文安										
882	安次										
883	涿縣										
884	西鄉										
885	良鄉										
886	臨鄉										
887	故安										
888	范陽										
889	容城										
890	新昌										
891	益昌										
892	阿陵										
893	高陽										
894	州鄉										
895	武垣										
896	廣望										
897	蠡於										
898	穀丘										
899	安平										
900	薊縣										
901	廣陽										
902	陰鄉										
903	方城										
904	沮陽										
905	軍都										
906	昌平										
907	夷輿										
908	居庸										
909	泉上										
910	且居										
911	茹縣										
912	下落										
913	潘縣										
914	涿鹿										
915	廣寧										
916	寧縣										
917	汝祁										
918	漁陽										
919	安樂										
920	狐奴										
921	平谷										
922	路縣										
923	雍奴										
924	泉州										
925	獷平										
926	滑鹽										
927	白檀										
928	要陽										
929	平剛										
930	石城										
931	無終										
932	俊靡										
933	徐無										
934	夕陽										
935	昌城										
936	廣城										
937	土根										
938	陽樂										
939	且慮										
940	賓徒										
941	徒河										
942	狐蘇										
943	交黎										
944	臨渝										
945	柳城										
946	文成										
947	肥如										
948	海陽										
949	新安平										
950	令支										
951	襄平										
952	居就										
953	新昌										
954	安市										
955	文縣										
956	郭平										
957	遝氏										
958	西安平										
959	番汁										
960	武次										
961	房縣										
962	遼隊										
963	險陵										
964	遼陽										
965	候城										
966	高顯										
967	望平										
968	無慮										
969	高句麗										
970	上殷台										
971	西蓋馬										
972	朝鮮										
973	駟望										
974	鏤方										
975	遂成										
976	黏蟬										
977	列口										
978	帶方										
979	昭明										
980	含資										
981	夫租										
982	屯有										
983	不而										
984	華麗										
985	增地										
986	渾彌										
987	講邯										
988	海冥										
989	前莫										
990	蠶台										
991	長岑										
992	吞列										
993	東										
994	水										
995	西城										
996	旬陽										
997	長利										
998	錫縣										
999	武陵										
1000	上庸										
1001	房陵										
1002	成固										
1003	南鄭										
1004	沔陽										
1005	安陽										
1006	褒中										
1007	武都										
1008	上祿										
1009	平樂道										
1010	下辨道										
1011	修成道										
1012	河池										
1013	嘉陵道										
1014	故道										
1015	沮縣										
1016	梓潼										
1017	葭明										
1018	白水										
1019	剛氏道										
1020	陰平道										
1021	旬氐道										
1022	涪縣										
1023	廣漢										
1024	什方										
1025	雒縣										
1026	綿竹										
1027	新都										
1028	郪縣										
1029	成都										
1030	郫縣										
1031	繁縣										
1032	江源										
1033	臨邛										
1034	汶江道										
1035	蠶陵										
1036	湔氐道										
1037	青衣										
1038	徙縣										
1039	嚴道										
1040	旄牛										
1041	江州										
1042	枳縣										
1043	涪陵										
1044	臨江										
1045	朐忍										
1046	魯複										
1047	墊江										
1048	安漢										
1049	宕渠										
1050	充國										
1051	閬中										
1052	僰道										
1053	江陽										
1054	符縣										
1055	資中										
1056	武陽										
1057	南安										
1058	南廣										
1059	朱提										
1060	堂琅										
1061											
1062	漢江										
1063	邛都										
1064	蘇示										
1065	卑水										
1066	台登										
1067	莋秦										
1068	闌縣										
1069	靈關道										
1070	定莋										
1071	會無										
1072	三絳										
1073	姑複										
1074	遂久										
1075	青蛉										
1076	滇池										
1077	勝休										
1078	俞元										
1079	同勞										
1080	昆澤										
1081	穀昌										
1082	連然										
1083	味縣										
1084	毋棳										
